Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination Date,Nomination,Circuit,CT,date
"Browning, James R.",Senior,2000-09-01,"Kuhl, Carolyn B.",1/7/2003,,CCA,Ninth Circuit,2003-06-01
"Wiggins, Charles E.",Senior,1996-12-31,"Bea, Carlos T.",4/11/2003,,CCA,Ninth Circuit,2003-06-01
"Kay, Alan C.",Senior,2000-01-01,"Rohlfing, Frederick W.",1/7/2003,,HI,Ninth Circuit,2003-06-01
"Jones, Robert E.",Senior,2000-05-01,"Mosman, Michael W.",5/8/2003,,OR,Ninth Circuit,2003-06-01
"Nielsen, William",Senior,2003-05-30,"Suko, Lonny R.",4/28/2003,,WA-E,Ninth Circuit,2003-06-01
"Hansen, C. LeRoy",Senior,2003-04-18,"Browning, James O.",4/28/2003,,NM,Tenth Circuit,2003-06-01
"Cox, Emmett Ripley",Senior,2000-12-18,"Pryor, William H. Jr",4/9/2003,,CCA,Eleventh Circuit,2003-06-01
"Nelson, Edwin L.",Deceased,2003-05-17,,,,AL-N,Eleventh Circuit,2003-06-01
"Silberman, Laurence H.",Senior,2000-11-01,,,,CCA,District of Columbia Circuit,2003-06-01
"Wald, Patricia M.",Retired,1999-11-16,"Estrada, Miguel A.",1/7/2003,,CCA,District of Columbia Circuit,2003-06-01
"Williams, Stephen F.",Senior,2001-09-30,,,,CCA,District of Columbia Circuit,2003-06-01
