Court,Incumbent,Vacancy Reason,Vacancy Date,Nominee,Nomination Date
01 - MA,"O'Toole Jr.,George A.",Senior,01/01/2018,,
01 - MA,"Woodlock,Douglas P.",Senior,06/01/2015,,
01 - PR,"Garcia-Gregory,Jay A.",Senior,09/30/2018,,
01 - PR,"Fuste,Jose Antonio",Retired,06/01/2016,"Arias-Marxuach,Raul M.",04/12/2018
01 - RI,"Lisi,Mary M.",Senior,10/01/2015,"McElroy,Mary S.",04/12/2018
02 - CCA,"Raggi,Reena",Senior,08/31/2018,"Bianco,Joseph Frank",11/13/2018
02 - CCA,"Lynch,Gerard E.",Senior,09/05/2016,"Park,Michael H.",11/13/2018
02 - CT,"Thompson,Alvin W.",Senior,08/31/2018,,
02 - NY-E,"Feuerstein,Sandra J.",Senior,01/21/2015,"Brown,Gary Richard",05/15/2018
02 - NY-E,"Gleeson,John",Resigned,03/09/2016,"Gujarati,Diane",05/15/2018
02 - NY-E,"Vitaliano,Eric N.",Senior,02/28/2017,"Komitee,Eric Ross",05/15/2018
02 - NY-E,"Amon,Carol Bagley",Senior,11/30/2016,"Kovner,Rachel Peter",05/15/2018
02 - NY-N,"Sharpe,Gary L.",Senior,01/01/2016,"Marcelle,Thomas",11/13/2018
02 - NY-S,"Sullivan,Richard J.",Elevated,10/11/2018,,
02 - NY-S,"Pauley III,William H.",Senior,03/01/2018,,
02 - NY-S,"Forrest,Katherine B.",Resigned,09/11/2018,,
02 - NY-S,"Castel,P. Kevin",Senior,08/05/2017,"Halpern,Philip M.",11/13/2018
02 - NY-S,"Crotty,Paul A.",Senior,08/01/2015,"Liman,Lewis J.",05/15/2018
02 - NY-S,"Preska,Loretta A.",Senior,03/01/2017,"Vyskocil,Mary Kay",05/15/2018
02 - NY-W,"Skretny,William M.",Senior,03/08/2015,"Sinatra Jr.,John L.",05/15/2018
03 - CCA,"Vanaskie,Thomas I.",Senior,11/30/2018,,
03 - CCA,"Fuentes,Julio M.",Senior,07/18/2016,"Matey,Paul B.",04/12/2018
03 - NJ,"Sheridan,Peter G.",Senior,06/14/2018,,
03 - NJ,"Simandle,Jerome B.",Senior,05/31/2017,,
03 - NJ,"Martini,William J.",Senior,02/10/2015,,
03 - NJ,"Hochberg,Faith S.",Retired,03/06/2015,,
03 - NJ,"Kugler,Robert B.",Senior,11/02/2018,,
03 - PA-E,"Stengel,Lawrence F.",Retired,08/31/2018,,
03 - PA-E,"Slomsky,Joel H.",Senior,10/09/2018,,
03 - PA-E,"Davis,Legrome D.",Senior,09/28/2017,,
03 - PA-E,"Gardner,James Knoll",Senior,04/03/2017,"Wolson,Joshua",05/15/2018
