Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination Date,Nomination,Circuit,CT,date
"Pickering, Charles W. Sr.",Elevated,2004-01-16,,,,MS-S,Fifth Circuit,2004-04-01
"Buchmeyer, Jerry L.",Senior,2003-09-05,"Boyle, Jane J.",11/24/2003,,TX-N,Fifth Circuit,2004-04-01
"Hannah, John H. Jr.",Deceased,2003-12-04,,,,TX-E,Fifth Circuit,2004-04-01
"Keith, Damon",Senior,1995-05-01,"Griffin, Richard",1/7/2003,,CCA,Sixth Circuit,2004-04-01
"Kennedy, Cornelia",Senior,1999-03-01,"Neilson, Susan Bieke",1/7/2003,,CCA,Sixth Circuit,2004-04-01
"Ryan, James L.",Senior,2000-01-01,"Saad, Henry W.",1/7/2003,,CCA,Sixth Circuit,2004-04-01
"Suhrheinrich, Richard F.",Senior,2001-08-15,"McKeague, David W.",1/7/2003,,CCA,Sixth Circuit,2004-04-01
"Duggan, Patrick J.",Senior,2000-09-29,"Ryan, Daniel P.",4/28/2003,,MI-E,Sixth Circuit,2004-04-01
"Gadola, Paul V.",Senior,2001-01-31,"Ludington, Thomas L.",1/7/2003,,MI-E,Sixth Circuit,2004-04-01
"Bowman, Pasco M.",Senior,2003-08-01,"Gruender, Raymond W. 9/29/2003",,,CCA,Eighth Circuit,2004-04-01
"McMillian, Theodore",Senior,2003-07-01,"Benton, William Duane 2/12/2004",,,CCA,Eighth Circuit,2004-04-01
"Reasoner, Stephen M.",Senior,2002-09-19,"Holmes, J. Leon",1/29/2003,,AR-E,Eighth Circuit,2004-04-01
"Browning, James R.",Senior,2000-09-01,"Kuhl, Carolyn B.",1/7/2003,,CCA,Ninth Circuit,2004-04-01
"Nelson, Thomas",Senior,2003-11-14,"Myers, William III",5/15/2003,,CCA,Ninth Circuit,2004-04-01
PL 107-273,New Position,2003-07-15,"Benitez, Roger T.",5/1/2003,,CA-S,Ninth Circuit,2004-04-01
"Kay, Alan C.",Senior,2000-01-01,"Rohlfing, Frederick W.",1/7/2003,,HI,Ninth Circuit,2004-04-01
"28 USC 133 (per Barbara Rothstein, FJC Director)",FJC Director,2003-09-08,"Martinez, Ricardo S.",10/14/2003,,WA-W,Ninth Circuit,2004-04-01
"Zilly, Thomas S.",Senior,2004-01-01,"Robart, James L.",12/9/2003,,WA-W,Ninth Circuit,2004-04-01
"Parker, James A.",Senior,2003-09-01,"Herrera, Judith C.",9/23/2003,,NM,Tenth Circuit,2004-04-01
"Nelson, Edwin L.",Deceased,2003-05-17,"Hopkins, Virginia E.",10/14/2003,,AL-N,Eleventh Circuit,2004-04-01
"Nimmons, Ralph W.",Deceased,2003-11-24,,,,FL-M,Eleventh Circuit,2004-04-01
"Ferguson, Wilkie D. Jr.",Deceased,2003-06-09,"Cooke, Marcia G.",11/25/2003,,FL-S,Eleventh Circuit,2004-04-01
"Silberman, Laurence H.",Senior,2000-11-01,"Kavanaugh, Brett M.",7/25/2003,,CCA,District of Columbia Circuit,2004-04-01
"Wald, Patricia M.",Retired,1999-11-16,,,,CCA,District of Columbia Circuit,2004-04-01
"Williams, Stephen F.",Senior,2001-09-30,"Brown, Janice R.",7/25/2003,,CCA,District of Columbia Circuit,2004-04-01
