Court,Incumbent,Vacancy Reason,Vacancy Date,Nominee,Nomination Date
01 - MA,"Woodlock,Douglas P.",Senior,06/01/2015,"Bernstein,Inga S.",07/30/2015
01 - PR,"Fuste,Jose Antonio",Retired,06/01/2016,,
01 - RI,"Lisi,Mary M.",Senior,10/01/2015,"McElroy,Mary Susan",09/08/2015
02 - CCA,"Wesley,Richard C.",Senior,08/01/2016,,
02 - NY-E,"Gleeson,John",Resigned,03/09/2016,,
02 - NY-E,"Feuerstein,Sandra J.",Senior,01/21/2015,"Brown,Gary Richard",07/30/2015
02 - NY-N,"Sharpe,Gary L.",Senior,01/01/2016,,
02 - NY-S,"Crotty,Paul A.",Senior,08/01/2015,,
02 - NY-W,"Skretny,William M.",Senior,03/08/2015,"Sweet,Kathleen Marie",03/15/2016
03 - CCA,"Fuentes,Julio M.",Senior,07/18/2016,,
03 - CCA,"Rendell,Marjorie O.",Senior,07/01/2015,"Haywood,Rebecca Ross",03/15/2016
03 - NJ,"Martini,William J.",Senior,02/10/2015,,
03 - NJ,"Hochberg,Faith S.",Retired,03/06/2015,"Neals,Julien Xavier",02/26/2015
03 - PA-E,"Restrepo,Luis Felipe",Elevated,01/11/2016,,
03 - PA-E,"McLaughlin,Mary A.",Senior,11/18/2013,"Younge,John Milton",07/30/2015
03 - PA-W,"Gibson,Kim R.",Senior,06/03/2016,,
03 - PA-W,"McLaughlin,Sean J.",Resigned,08/16/2013,"Baxter,Susan Paradise",07/30/2015
03 - PA-W,"Lancaster,Gary L.",Deceased,04/24/2013,"Colville,Robert John",07/30/2015
03 - PA-W,"McVerry,Terrence F.",Senior,09/30/2013,"Horan,Marilyn Jean",07/30/2015
04 - MD,"Quarles Jr.,William D.",Senior,02/01/2016,"Gallagher,Stephanie Agli",09/08/2015
04 - NC-E,"Howard,Malcolm J.",Senior,12/31/2005,"Timmons-Goodson,Patricia Ann",04/28/2016
04 - SC,"Currie,Cameron McGowan",Senior,10/03/2013,"Beatty,Donald W.",02/25/2016
04 - SC,"Anderson Jr.,Joseph F.",Senior,11/16/2014,"Coggins Jr.,Donald C.",02/25/2016
05 - CCA,"King,Carolyn Dineen",Senior,12/31/2013,,
05 - CCA,"Garza,Emilio M.",Senior,08/01/2012,,
05 - LA-E,"Lemelle,Ivan L.",Senior,06/29/2015,"Kelly III,Claude J.",02/04/2016
05 - LA-W,"James,Robert G.",Senior,05/31/2016,,
05 - LA-W,"Haik,Richard T.",Senior,03/06/2015,"Finley,Stephanie A.",02/04/2016
05 - TX-E,"Davis,Leonard E.",Retired,05/15/2015,,
05 - TX-E,"Schneider,Michael H.",Senior,01/07/2016,,
05 - TX-E,"Schell,Richard A.",Senior,03/10/2015,"Scholer,Karen Gren",03/15/2016
05 - TX-N,"Robinson,Mary Lou",Senior,02/03/2016,,
05 - TX-N,"Cummings,Samuel Ray",Senior,12/31/2014,"Frost,E. Scott",03/15/2016
05 - TX-N,"Solis,Jorge A.",Retired,05/01/2016,"Hendrix,James Wesley",03/15/2016
05 - TX-N,"Means,Terry",Senior,07/03/2013,"Ramirez,Irma Carrillo",03/15/2016
05 - TX-S,"Costa,Gregg Jeffrey",Elevated,05/20/2014,,
05 - TX-S,"Jack,Janis Graham",Senior,06/01/2011,,
05 - TX-W,"Junell,Robert A.",Senior,02/13/2015,"Counts III,Walter David",03/15/2016
06 - CCA,"Martin Jr.,Boyce F.",Retired,08/16/2013,"Hughes,Lisabeth Tabor",03/17/2016
06 - KY-E,"Coffman,Jennifer B.",Retired,01/08/2013,,
06 - KY-W,"Heyburn II,John G.",Senior,04/01/2014,,
06 - OH-S,"Frost,Gregory L.",Retired,05/02/2016,,
06 - TN-W,"Mays Jr.,Samuel H.",Senior,07/01/2015,"Stanton III,Edward L.",05/21/2015
07 - CCA,"Evans,Terence T.",Senior,01/07/2010,"Schott,Donald K.",01/12/2016
07 - CCA,"Tinder,John Daniel",Senior,02/18/2015,"Selby,Myra C.",01/12/2016
07 - IN-N,"Miller Jr.,Robert L.",Senior,01/11/2016,,
07 - IN-S,"Barker,Sarah Evans",Senior,06/30/2014,"Ong,Winfield D.",01/12/2016
07 - WI-E,"Randa,Rudolph T.",Senior,02/05/2016,,
08 - CCA,"Bye,Kermit Edward",Senior,04/22/2015,"Puhl,Jennifer Kelmetsrud",01/28/2016
08 - MN,"Montgomery,Ann D.",Senior,05/31/2016,,
09 - AK,"Beistline,Ralph R.",Senior,12/31/2015,,
09 - AZ,"Wake,Neil Vincent",Senior,07/05/2016,,
09 - CA-C,"Morrow,Margaret M.",Senior,10/29/2015,,
09 - CA-C,"Pregerson,Dean D.",Senior,01/28/2016,"Abrams,Paul Lewis",12/16/2015
09 - CA-C,"Collins,Audrey B.",Retired,08/01/2014,"Young,Mark A.",07/16/2015
09 - CCA,"Pregerson,Harry",Senior,12/11/2015,"Koh,Lucy Haeran",02/25/2016
09 - HI,"Mollway,Susan Oki",Senior,11/06/2015,"Connors,Clare Elizabeth",09/08/2015
09 - ID,"Lodge,Edward J.",Senior,07/03/2015,"Nye,David C.",04/06/2016
09 - NV,"Jones,Robert Clive",Senior,02/01/2016,"Traum,Anne Rachel",04/28/2016
09 - WA-W,"Lasnik,Robert S.",Senior,01/27/2016,"Andrus,Beth M.",04/14/2016
09 - WA-W,"Robart,James L.",Senior,06/28/2016,"Diaz,J. Michael",04/14/2016
