Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Selya, Bruce M.",Senior,2006-12-31,,,CCA,First Circuit,2009-06-02
"Lindsay, Reginald",Deceased,2009-03-12,,,MA,First Circuit,2009-06-02
"Torres, Ernest C.",Senior,2006-12-01,,,RI,First Circuit,2009-06-02
"Straub, Chester J.",Senior,2008-07-16,"Lynch, Gerard E.",2009-04-02,CCA,Second Circuit,2009-06-02
"Gershon, Nina",Senior,2008-10-16,,,NY-E,Second Circuit,2009-06-02
"Scullin, Frederick J., Jr.",Senior,2006-03-13,,,NY-N,Second Circuit,2009-06-02
"Larimer, David G.",Senior,2009-03-03,,,NY-W,Second Circuit,2009-06-02
"Alito, Samuel A., Jr.",Elevated,2006-01-31,,,CCA,Third Circuit,2009-06-02
"Van Antwerpen, Frank",Senior,2006-10-23,,,CCA,Third Circuit,2009-06-02
"Jordan, Kent A.",Elevated,2006-12-13,,,DE,Third Circuit,2009-06-02
"Caputo, A. Richard",Senior,2009-03-31,,,PA-M,Third Circuit,2009-06-02
"Munley, James M.",Senior,2009-01-30,,,PA-M,Third Circuit,2009-06-02
"Hardiman, Thomas M.",Elevated,2007-03-15,,,PA-W,Third Circuit,2009-06-02
"Murnaghan, Francis",Deceased,2000-08-31,"Davis, Andre M.",2009-04-02,CCA,Fourth Circuit,2009-06-02
"Phillips, J. Dickson, Jr.",Senior,1994-07-31,,,CCA,Fourth Circuit,2009-06-02
"Widener, H. Emory, Jr.",Deceased,2007-09-19,,,CCA,Fourth Circuit,2009-06-02
"Wilkins, William W.",Senior,2007-07-01,,,CCA,Fourth Circuit,2009-06-02
"Messitte, Peter J.",Senior,2008-09-01,,,MD,Fourth Circuit,2009-06-02
"Howard, Malcolm J.",Senior,2005-12-31,,,NC-E,Fourth Circuit,2009-06-02
"Tilley, Jr., N. Carlton",Senior,2008-12-16,,,NC-M,Fourth Circuit,2009-06-02
"Anderson, Jr., G. Ross",Senior,2009-01-29,,,SC,Fourth Circuit,2009-06-02
"Herlong Jr., Henry M.",Senior,2009-06-01,,,SC,Fourth Circuit,2009-06-02
"Payne, Robert E.",Senior,2007-05-07,,,VA-E,Fourth Circuit,2009-06-02
"Faber, David A",Senior,2008-12-31,,,WV-S,Fourth Circuit,2009-06-02
"Duval, Jr., Stanwood R.",Senior,2008-12-15,,,LA-E,Fifth Circuit,2009-06-02
