Court,Incumbent,Vacancy Reason,Vacancy Date,Nominee,Nomination Date
01 - MA,"Woodlock,Douglas P.",Senior,06/01/2015,,
01 - PR,"Fuste,Jose Antonio",Retired,06/01/2016,,
01 - RI,"Lisi,Mary M.",Senior,10/01/2015,,
02 - CCA,"Lynch,Gerard E.",Senior,09/05/2016,,
02 - CCA,"Wesley,Richard C.",Senior,08/01/2016,,
02 - CT,"Chatigny,Robert N.",Senior,01/01/2017,,
02 - NY-E,"Feuerstein,Sandra J.",Senior,01/21/2015,,
02 - NY-E,"Gleeson,John",Resigned,03/09/2016,,
02 - NY-E,"Amon,Carol Bagley",Senior,11/30/2016,,
02 - NY-N,"Sharpe,Gary L.",Senior,01/01/2016,,
02 - NY-S,"Crotty,Paul A.",Senior,08/01/2015,,
02 - NY-W,"Skretny,William M.",Senior,03/08/2015,,
03 - CCA,"Rendell,Marjorie O.",Senior,07/01/2015,,
03 - CCA,"Fisher,D. Michael",Senior,02/01/2017,,
03 - CCA,"Fuentes,Julio M.",Senior,07/18/2016,,
03 - NJ,"Martini,William J.",Senior,02/10/2015,,
03 - NJ,"Hochberg,Faith S.",Retired,03/06/2015,,
03 - PA-E,"McLaughlin,Mary A.",Senior,11/18/2013,,
03 - PA-E,"Restrepo,Luis Felipe",Elevated,01/11/2016,,
03 - PA-W,"McVerry,Terrence F.",Senior,09/30/2013,,
03 - PA-W,"Gibson,Kim R.",Senior,06/03/2016,,
03 - PA-W,"Lancaster,Gary L.",Deceased,04/24/2013,,
03 - PA-W,"McLaughlin,Sean J.",Resigned,08/16/2013,,
04 - MD,"Quarles Jr.,William D.",Retired,02/01/2016,,
04 - NC-E,"Howard,Malcolm J.",Senior,12/31/2005,,
04 - SC,"Currie,Cameron McGowan",Senior,10/03/2013,,
04 - SC,"Anderson Jr.,Joseph F.",Senior,11/16/2014,,
05 - CCA,"King,Carolyn Dineen",Senior,12/31/2013,,
05 - CCA,"Davis,W. Eugene",Senior,12/31/2016,,
05 - CCA,"Garza,Emilio M.",Senior,08/01/2012,,
05 - LA-E,"Lemelle,Ivan L.",Senior,06/29/2015,,
05 - LA-E,"Berrigan,Helen G.",Senior,08/23/2016,,
05 - LA-W,"Haik,Richard T.",Senior,03/06/2015,,
