Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
"Skopil, Otto R.",Retired,1986-07-01,"Leavy, Edward",,CCA,Ninth Circuit,1987-03-01,2/2/1987
"Williams, Spencer",Retired,1987-02-24,,,CA-N,Ninth Circuit,1987-03-01,
"Waters, Laughlin E.",Retired,1986-07-07,"Lew, Ronald S.",,CA-C,Ninth Circuit,1987-03-01,2/2/1987
"King, Samuel P.",Retired,1984-11-30,,,HI,Ninth Circuit,1987-03-01,
"Claiborne, Harry",Impeached,1986-10-09,,,NV,Ninth Circuit,1987-03-01,
"Voorhees, Donald",Retired,1986-12-01,,,WA-W,Ninth Circuit,1987-03-01,
"Doyle, William E.",Retired,1984-12-28,,,CCA,Tenth Circuit,1987-03-01,
"Moore, John P.",Elevated,1985-05-14,,,CO,Tenth Circuit,1987-03-01,
PL 98-353,New Position,1984-07-10,,,CO,Tenth Circuit,1987-03-01,
"Bratton, Howard",Retired,1987-02-05,,,NM,Tenth Circuit,1987-03-01,
"Eubanks, Luther",Retired,1986-06-30,"Phillips, Layn R.",,OK-W,Tenth Circuit,1987-03-01,2/2/1987
"Scalia, Antonin",Elevated,1986-09-26,"Sentelle, David Bryan",,CCA,District of Columbia Circuit,1987-03-01,2/2/1987
"Parker, Barrington",Retired,1985-12-19,,,DC,District of Columbia Circuit,1987-03-01,
"Baldwin, Philip",Disabled,1986-11-25,,,CCA,Federal Circuit,1987-03-01,
"Bennett, Marion T.",Retired,1986-03-01,"Mayer, H. Robert",,CCA,Federal Circuit,1987-03-01,2/3/1987
"Kashiwa, Shiro",Retired,1986-01-07,,,CCA,Federal Circuit,1987-03-01,
"Ford, Morgan",Retired,1985-12-31,,,USIT,International Trade,1987-03-01,
