Court,Incumbent,Vacancy Reason,Vacancy Date,Nominee,Nomination Date
01 - CCA,"Torruella,Juan R.",Deceased,10/26/2020,,
01 - MA,"O'Toole Jr.,George A.",Senior,01/01/2018,,
01 - MA,"Woodlock,Douglas P.",Senior,06/01/2015,,
02 - CT,"Thompson,Alvin W.",Senior,08/31/2018,"Jongbloed,Barbara Bailey",10/15/2019
02 - NY-E,"Cogan,Brian M.",Senior,06/12/2020,"Gonzalez,Hector",09/08/2020
02 - NY-E,"Bianco,Joseph F.",Elevated,05/08/2019,"Komatireddy,Saritha",05/04/2020
02 - NY-E,"Irizarry,Dora L.",Senior,01/26/2020,"Woll Jr.,David Carey",09/08/2020
02 - NY-N,"Sharpe,Gary L.",Senior,01/01/2016,"McAllister,Ryan Thomas",09/08/2020
02 - NY-S,"Forrest,Katherine B.",Resigned,09/11/2018,"Lan,Iris",05/04/2020
02 - NY-S,"Sullivan,Richard J.",Elevated,10/11/2018,"Rearden,Jennifer H.",05/04/2020
03 - NJ,"Linares,Jose L.",Retired,05/16/2019,,
03 - NJ,"Sheridan,Peter G.",Senior,06/14/2018,,
03 - NJ,"Simandle,Jerome B.",Senior,05/31/2017,,
03 - NJ,"Martini,William J.",Senior,02/10/2015,,
03 - NJ,"Hochberg,Faith S.",Retired,03/06/2015,,
03 - NJ,"Kugler,Robert B.",Senior,11/02/2018,,
03 - PA-E,"Stengel,Lawrence F.",Retired,08/31/2018,,
04 - SC,"Wooten,Terry L.",Senior,02/28/2019,"Dawson III,Joseph",10/23/2020
04 - VA-E,"O'Grady,Liam",Senior,05/01/2020,,
05 - MS-S,"Guirola Jr.,Louis",Senior,03/23/2018,"McNeel,Taylor B.",07/02/2020
06 - OH-N,"Boyko,Christopher A.",Senior,01/06/2020,"Calabrese,J. Philip",03/03/2020
06 - TN-E,"Mattice Jr.,Harry S.",Senior,03/10/2020,"Atchley Jr.,Charles Edward",09/22/2020
06 - TN-E,"Reeves,Pamela L.",Deceased,09/10/2020,"Crytzer,Katherine A.",09/22/2020
07 - CCA,"Flaum,Joel M.",Senior,11/30/2020,,
07 - CCA,"Barrett,Amy Coney",Elevated,10/26/2020,"Kirsch II,Thomas L.",11/16/2020
07 - WI-E,"Griesbach,William C.",Senior,12/31/2019,,
08 - MN,"Ericksen,Joan N.",Senior,10/15/2019,,
09 - CA-C,"Selna,James V.",Senior,03/03/2020,,
09 - CA-C,"Guilford,Andrew J.",Senior,07/05/2019,,
09 - CA-C,"Otero,S. James",Senior,12/30/2018,"Aenlle-Rocha,Fernando L.",01/09/2020
09 - CA-C,"O'Connell,Beverly Reid",Deceased,10/08/2017,"Kim,Steve",02/13/2020
09 - CA-C,"Snyder,Christina A.",Senior,11/23/2016,"Leal,Sandy Nunes",02/13/2020
09 - CA-C,"Real,Manuel L.",Senior,11/04/2018,"Richmond,Rick Lloyd",02/13/2020
09 - CA-C,"Morrow,Margaret M.",Senior,10/29/2015,"Rosen,Jeremy Brooks",02/13/2020
09 - CA-E,"O'Neill,Lawrence J.",Senior,02/02/2020,"Arguelles,James P.",06/18/2020
09 - CA-E,"England Jr.,Morrison C.",Senior,12/17/2019,"Paloutzian,Dirk B.",05/21/2020
09 - CA-S,"Benitez,Roger T.",Senior,12/31/2017,"Braverman,Adam L.",02/13/2020
09 - CA-S,"Houston,John A.",Senior,02/06/2018,"Johnson,Knut Sveinbjorn",02/13/2020
09 - CA-S,"Moskowitz,Barry Ted",Senior,01/23/2019,"Matthews,R. Shireen",02/13/2020
09 - CA-S,"Anello,Michael M.",Senior,10/31/2018,"Pettit,Michelle M.",02/13/2020
09 - NV,"Jones,Robert Clive",Senior,02/01/2016,,
09 - NV,"Mahan,James C.",Senior,06/29/2018,"Togliatti,Jennifer P.",02/13/2020
09 - WA-W,"Robart,James L.",Senior,06/28/2016,,
09 - WA-W,"Leighton,Ronald B.",Senior,02/28/2019,,
09 - WA-W,"Settle,Benjamin Hale",Senior,01/01/2020,,
09 - WA-W,"Lasnik,Robert S.",Senior,01/27/2016,,
09 - WA-W,"Pechman,Marsha J.",Senior,02/06/2016,,
10 - CO,"Krieger,Marcia S.",Senior,03/03/2019,,
10 - NM,"Brack,Robert",Senior,07/25/2018,"Frederici III,Fred Joseph",06/18/2020
10 - NM,"Herrera,Judith C.",Senior,07/01/2019,"Saiz,Brenda M.",06/18/2020
11 - AL-M,"Brasher,Andrew Lynn",Elevated,02/11/2020,"LaCour Jr.,Edmund G.",06/02/2020
11 - FL-S,"Moreno,Federico A.",Senior,07/17/2020,,
CL,"Lettow,Charles Frederick",Senior,07/13/2018,"Davis,Kathryn C.",02/04/2020
CL,"Wolski,Victor J.",Senior,07/13/2018,"Dietz,Thompson Michael",07/02/2020
CL,"Damich,Edward J.",Senior,10/21/2013,"Epstein,David Z.",02/04/2020
CL,"Sweeney,Margaret M.",Senior,10/23/2020,"Kubiatowski,Stephen Andrew",10/26/2020
CL,"Braden,Susan G.",Senior,07/13/2018,"Obermann,Grace Karaffa",01/09/2020
CL,"Horn,Marian Blank",Senior,03/09/2018,"Schwartz,Stephen Sidney",01/09/2020
CL,"Wheeler,Thomas C.",Senior,10/23/2020,"Somers,Zachery N.",09/08/2020
IT,"Gordon,Leo M.",Senior,03/22/2019,"Barloon,Joseph L.",11/16/2020
