Court,Incumbent,Vacancy Reason,Vacancy Date,Nominee,Nomination Date
01 - MA,"Woodlock,Douglas P.",Senior,06/01/2015,,
01 - MA,"O'Toole Jr.,George A.",Senior,01/01/2018,,
01 - ME,"Woodcock Jr.,John A.",Senior,06/27/2017,"Walker,Lance E.",04/10/2018
01 - PR,"Fuste,Jose Antonio",Retired,06/01/2016,"Arias-Marxuach,Raul M.",04/12/2018
01 - RI,"Lisi,Mary M.",Senior,10/01/2015,"McElroy,Mary S.",04/12/2018
02 - CCA,"Lynch,Gerard E.",Senior,09/05/2016,,
02 - CCA,"Wesley,Richard C.",Senior,08/01/2016,,
02 - CT,"Chatigny,Robert N.",Senior,01/01/2017,"Dooley,Kari A.",12/20/2017
02 - NY-E,"Gleeson,John",Resigned,03/09/2016,,
02 - NY-E,"Feuerstein,Sandra J.",Senior,01/21/2015,,
02 - NY-E,"Amon,Carol Bagley",Senior,11/30/2016,,
02 - NY-E,"Vitaliano,Eric N.",Senior,02/28/2017,,
02 - NY-N,"Sharpe,Gary L.",Senior,01/01/2016,,
02 - NY-S,"Crotty,Paul A.",Senior,08/01/2015,,
02 - NY-S,"Castel,P. Kevin",Senior,08/05/2017,,
02 - NY-S,"Pauley III,William H.",Senior,03/01/2018,,
02 - NY-S,"Preska,Loretta A.",Senior,03/01/2017,,
02 - NY-W,"Skretny,William M.",Senior,03/08/2015,,
03 - CCA,"Fuentes,Julio M.",Senior,07/18/2016,"Matey,Paul B.",04/12/2018
03 - CCA,"Fisher,D. Michael",Senior,02/01/2017,"Porter,David James",04/12/2018
03 - DE,"Robinson,Sue L.",Senior,02/03/2017,"Connolly,Colm F.",12/20/2017
03 - DE,"Sleet,Gregory M.",Senior,05/01/2017,"Noreika,Maryellen",12/20/2017
03 - NJ,"Simandle,Jerome B.",Senior,05/31/2017,,
03 - NJ,"Martini,William J.",Senior,02/10/2015,,
03 - NJ,"Hochberg,Faith S.",Retired,03/06/2015,,
03 - PA-E,"Gardner,James Knoll",Senior,04/03/2017,,
03 - PA-E,"McLaughlin,Mary A.",Senior,11/18/2013,,
03 - PA-E,"Davis,Legrome D.",Senior,09/28/2017,,
03 - PA-E,"Restrepo,Luis Felipe",Elevated,01/11/2016,"Kenney,Chad F.",12/20/2017
03 - PA-W,"Cercone,David Stewart",Senior,11/24/2017,,
03 - PA-W,"Schwab,Arthur J.",Senior,01/01/2018,,
03 - PA-W,"Gibson,Kim R.",Senior,06/03/2016,,
03 - PA-W,"McLaughlin,Sean J.",Resigned,08/16/2013,"Baxter,Susan Paradise",12/20/2017
03 - PA-W,"Lancaster,Gary L.",Deceased,04/24/2013,"Horan,Marilyn Jean",12/20/2017
03 - PA-W,"McVerry,Terrence F.",Senior,09/30/2013,"Phipps,Peter J.",02/15/2018
04 - CCA,"Shedd,Dennis W.",Senior,01/30/2018,,
04 - MD,"Quarles Jr.,William D.",Retired,02/01/2016,,
04 - NC-E,"Howard,Malcolm J.",Senior,12/31/2005,"Farr,Thomas Alvin",01/08/2018
04 - NC-W,"Voorhees,Richard L.",Senior,08/31/2017,"Bell,Kenneth D.",04/12/2018
04 - VA-E,"Lee,Gerald Bruce",Retired,09/30/2017,,
04 - VA-W,"Conrad,Glen E.",Senior,12/11/2017,,
04 - WV-N,"Keeley,Irene M.",Senior,08/12/2017,"Kleeh,Thomas S.",02/15/2018
