Court,Incumbent,Vacancy Reason,Vacancy Date,Nominee,Nomination Date
01 - MA,"Woodlock,Douglas P.",Senior,06/01/2015,,
01 - MA,"O'Toole Jr.,George A.",Senior,01/01/2018,,
02 - CT,"Thompson,Alvin W.",Senior,08/31/2018,"Jongbloed,Barbara Bailey",10/15/2019
02 - NY-E,"Bianco,Joseph F.",Elevated,05/08/2019,,
02 - NY-E,"Irizarry,Dora L.",Senior,01/26/2020,,
02 - NY-E,"Gleeson,John",Resigned,03/09/2016,"Gujarati,Diane",05/21/2019
02 - NY-N,"Sharpe,Gary L.",Senior,01/01/2016,,
02 - NY-S,"Forrest,Katherine B.",Resigned,09/11/2018,,
02 - NY-S,"Sullivan,Richard J.",Elevated,10/11/2018,,
02 - NY-S,"Pauley III,William H.",Senior,03/01/2018,"Cronan,John Peter",02/27/2020
03 - NJ,"Kugler,Robert B.",Senior,11/02/2018,,
03 - NJ,"Hochberg,Faith S.",Retired,03/06/2015,,
03 - NJ,"Simandle,Jerome B.",Senior,05/31/2017,,
03 - NJ,"Sheridan,Peter G.",Senior,06/14/2018,,
03 - NJ,"Martini,William J.",Senior,02/10/2015,,
03 - NJ,"Linares,Jose L.",Retired,05/16/2019,,
03 - PA-E,"Stengel,Lawrence F.",Retired,08/31/2018,,
03 - PA-W,"Fischer,Nora Barry",Senior,06/13/2019,"Hardy,William Scott",01/06/2020
03 - PA-W,"Phipps,Peter J.",Elevated,07/16/2019,"Wiegand,Christy Criswell",02/12/2020
04 - SC,"Wooten,Terry L.",Senior,02/28/2019,,
04 - VA-E,"O'Grady,Liam",Senior,05/01/2020,,
04 - VA-E,"Smith,Rebecca Beach",Senior,08/01/2019,,
04 - VA-W,"Conrad,Glen E.",Senior,12/11/2017,"Cullen,Thomas T.",02/04/2020
05 - CCA,"Jolly,E. Grady",Senior,10/03/2017,,
05 - LA-W,"Drell,Dee D.",Senior,11/30/2017,"Joseph,David Cleveland",01/06/2020
05 - MS-S,"Starrett,Keith",Senior,04/30/2019,,
05 - MS-S,"Guirola Jr.,Louis",Senior,03/23/2018,"Wilson,Cory T.",01/06/2020
05 - TX-S,"Lake III,Simeon Timothy",Senior,07/05/2019,"Tipton,Drew B.",02/04/2020
06 - MI-W,"Bell,Robert Holmes",Senior,01/31/2017,"Jarbou,Hala Y.",03/18/2020
06 - OH-N,"Boyko,Christopher A.",Senior,01/06/2020,"Calabrese,J. Philip",03/03/2020
06 - OH-N,"Zouhary,Jack",Senior,07/01/2019,"Knepp II,James Ray",03/03/2020
06 - OH-S,"Barrett,Michael R.",Senior,02/15/2019,"Newman,Michael Jay",03/03/2020
06 - TN-E,"Mattice Jr.,Harry S.",Senior,03/10/2020,,
07 - IL-N,"Kapala,Frederick J.",Senior,05/10/2019,"Johnston,Iain D.",02/12/2020
07 - IL-N,"Castillo,Ruben",Retired,09/27/2019,"Valderrama,Franklin Ulyses",02/12/2020
07 - IL-S,"Herndon,David R.",Retired,01/07/2019,"Dugan,David W.",02/12/2020
07 - IL-S,"Reagan,Michael J.",Retired,03/31/2019,"McGlynn,Stephen P.",02/04/2020
07 - WI-E,"Griesbach,William C.",Senior,12/31/2019,,
07 - WI-E,"Randa,Rudolph T.",Senior,02/05/2016,"Ludwig,Brett H.",03/03/2020
08 - MN,"Ericksen,Joan N.",Senior,10/15/2019,,
