Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
PL 106-553,New Position,2000-12-21,"Crane, Randy",2001-09-21,TX-S,Fifth Circuit,2002-03-06
"Vela, Filemon",Senior,2000-05-01,"Hanen, Andrew S.",2002-01-23,TX-S,Fifth Circuit,2002-03-06
"Garcia, Hipolito F.",Senior,2002-01-15,,,TX-W,Fifth Circuit,2002-03-06
"Hudspeth, Harry",Senior,2001-06-30,,,TX-W,Fifth Circuit,2002-03-06
"Keith, Damon",Senior,1995-05-01,,,CCA,Sixth Circuit,2002-03-06
"Kennedy, Cornelia",Senior,1999-03-01,"Neilson, Susan Bieke",2001-11-08,CCA,Sixth Circuit,2002-03-06
"Merritt, Gilbert S.",Senior,2001-01-17,"Gibbons, Julia Smith",2001-10-09,CCA,Sixth Circuit,2002-03-06
"Nelson, David A.",Senior,1999-10-01,"Sutton, Jeffrey S.",2001-09-04,CCA,Sixth Circuit,2002-03-06
"Norris, Alan E.",Senior,2001-07-01,"Cook, Deborah L.",2001-09-04,CCA,Sixth Circuit,2002-03-06
"Ryan, James L.",Senior,2000-01-01,"Saad, Henry W.",2001-11-08,CCA,Sixth Circuit,2002-03-06
"Siler, Eugene E. Jr",Senior,2001-12-31,"Rogers, John M.",2001-12-19,CCA,Sixth Circuit,2002-03-06
"Suhrheinrich, Richard F.",Senior,2001-08-15,"McKeague, David W.",2001-11-08,CCA,Sixth Circuit,2002-03-06
"Duggan, Patrick J.",Senior,2000-09-29,,,MI-E,Sixth Circuit,2002-03-06
"Gadola, Paul V.",Senior,2001-01-31,,,MI-E,Sixth Circuit,2002-03-06
"White, George W.",Retired,1999-02-26,,,OH-N,Sixth Circuit,2002-03-06
"Smith, George C.",Senior,2002-01-01,,,OH-S,Sixth Circuit,2002-03-06
"Weber, Herman J.",Senior,2002-01-01,"Rose, Thomas M.",2002-01-23,OH-S,Sixth Circuit,2002-03-06
"Jordan, Robert Leon",Senior,2001-11-30,,,TN-E,Sixth Circuit,2002-03-06
"Turner, Jerome",Deceased,2000-02-12,"Mays, Samuel H. Jr",2002-01-23,TN-W,Sixth Circuit,2002-03-06
"Lindberg, George W.",Senior,2001-06-21,,,IL-N,Seventh Circuit,2002-03-06
PL 106-553,New Position,2000-12-21,"Greisbach, William C.",2002-01-23,WI-E,Seventh Circuit,2002-03-06
"Arnold, Richard S.",Senior,2001-04-01,"Smith, Lavenski R.",2001-09-04,CCA,Eighth Circuit,2002-03-06
"Melloy, Michael J.",Elevated,2002-02-11,,,IA-N,Eighth Circuit,2002-03-06
"Magnuson, Paul A.",Senior,2002-02-09,"Lancaster, Joan E.",2002-01-23,MN,Eighth Circuit,2002-03-06
"Gunn, George F. Jr.",Senior,1996-12-01,,,MO-E,Eighth Circuit,2002-03-06
"Bartlett, D. Brook",Deceased,2000-01-21,,,MO-W,Eighth Circuit,2002-03-06
"Conmy, Patrick",Senior,2000-01-05,,,ND,Eighth Circuit,2002-03-06
"Webb, Rodney S.",Senior,2001-12-31,,,ND,Eighth Circuit,2002-03-06
"Browning, James R",Senior,2000-09-01,"Kuhl, Carolyn B.",2001-09-04,CCA,Ninth Circuit,2002-03-06
"Hall, Cynthia Holcomb",Senior,1997-08-31,"Clifton, Richard R.",2001-09-04,CCA,Ninth Circuit,2002-03-06
"Hug, Proctor Jr.",Senior,2002-01-01,,,CCA,Ninth Circuit,2002-03-06
"Wiggins, Charles E.",Senior,1996-12-31,,,CCA,Ninth Circuit,2002-03-06
"Holland, H. Russel",Senior,2001-09-18,"Beistline, Ralph B.",2001-11-07,AK,Ninth Circuit,2002-03-06
PL 106-553,New Position,2000-12-21,"Bury, David C.",2001-09-10,AZ,Ninth Circuit,2002-03-06
"Legge, Charles A.",Retired,2001-06-30,,,CA-N,Ninth Circuit,2002-03-06
"Karlton, Lawrence K.",Senior,2000-05-27,,,CA-E,Ninth Circuit,2002-03-06
"Davies, John G.",Retired,1998-07-18,"Walter, John F.",2002-01-23,CA-C,Ninth Circuit,2002-03-06
"Keller, William",Senior,1999-10-29,,,CA-C,Ninth Circuit,2002-03-06
"Letts, J. Spencer",Senior,2000-12-19,,,CA-C,Ninth Circuit,2002-03-06
"Moreno, Carlos R.",Resigned,2001-10-18,,,CA-C,Ninth Circuit,2002-03-06
"Paez, Richard A.",Elevated,2000-03-09,,,CA-C,Ninth Circuit,2002-03-06
"Wardlaw, Kim McLane",Elevated,1998-07-31,"Anderson, Percy",2002-01-23,CA-C,Ninth Circuit,2002-03-06
"Kay, Alan C.",Senior,2000-01-01,"Rohlfing, Frederick W.",2002-01-23,HI,Ninth Circuit,2002-03-06
"Jones, Robert E.",Senior,2000-05-01,,,OR,Ninth Circuit,2002-03-06
"Bryan, Robert J.",Senior,2000-11-01,"Leighton, Ronald B.",2002-01-23,WA-W,Ninth Circuit,2002-03-06
"Anderson, Stephen H.",Senior,2000-01-01,"McConnell, Michael W.",2001-09-04,CCA,Tenth Circuit,2002-03-06
"Brorby, Wade",Senior,2001-05-25,"O'Brien, Terrence L.",2001-09-04,CCA,Tenth Circuit,2002-03-06
"Porfilio, John C.",Senior,1999-10-15,"Tymkovich, Timothy M.",2001-09-04,CCA,Tenth Circuit,2002-03-06
"Sam, David",Senior,1999-11-01,"Cassell, Paul G",2001-09-04,UT,Tenth Circuit,2002-03-06
"Cox, Emmett Ripley",Senior,2000-12-18,"Steele, William H.",2001-10-09,CCA,Eleventh Circuit,2002-03-06
"Vollmer, Richard W., Jr",Senior,2000-12-31,,,AL-S,Eleventh Circuit,2002-03-06
PL 106-113,New Position,1999-11-29,,,FL-M,Eleventh Circuit,2002-03-06
"Davis, Edward",Senior,2000-07-01,"Martinez, Jose E.",2002-01-23,FL-S,Eleventh Circuit,2002-03-06
PL 106-553,New Position,2000-12-21,"Marra, Kenneth A.",2002-01-23,FL-S,Eleventh Circuit,2002-03-06
"Buckley, James L.",Senior,1996-08-31,"Roberts, John G. Jr.",2001-09-04,CCA,District of Columbia Circuit,2002-03-06
"Silberman, Laurence H.",Senior,2000-11-01,,,CCA,District of Columbia Circuit,2002-03-06
"Wald, Patricia M.",Retired,1999-11-16,"Estrada, Miguel A.",2001-09-04,CCA,District of Columbia Circuit,2002-03-06
"Williams, Stephen F.",Senior,2001-09-30,,,CCA,District of Columbia Circuit,2002-03-06
"Jackson, Thomas P",Senior,2002-01-31,,,DC,District of Columbia Circuit,2002-03-06
"Goldberg, Richard",Senior,2001-04-02,"Stanceu, Timothy C.",2001-12-19,USIT,International Trade,2002-03-06
